"<a href=""%1"" target=""_blank"">Click here</a> to apply for an account.","<a href=""%1"" target=""_blank"">Click here</a> to apply for an account."
"<a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","<a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>"
"<b>Online payments solutions for every type of business.</b><br />Regardless of the size, markets and scope of your business, we partner with you for growth.","<b>Online payments solutions for every type of business.</b><br />Regardless of the size, markets and scope of your business, we partner with you for growth."
"Abandoned Orders","Abandoned Orders"
"All Allowed Countries","All Allowed Countries"
"All Allowed Currencies","All Allowed Currencies"
"All Allowed Customer Groups","All Allowed Customer Groups"
"Allow Receiving Webhooks","Allow Receiving Webhooks"
"American Express","American Express"
"and perform the following steps:","and perform the following steps:"
"API Key","API Key"
"API Secret","API Secret"
"Attention","Attention"
"Authorization Mode","Authorization Mode"
"Authorize & Capture","Authorize & Capture"
"Authorize","Authorize"
"Auto cancellation of orders that are stuck in the payment review status after the specified time. The time is in minutes.","Auto cancellation of orders that are stuck in the payment review status after the specified time. The time is in minutes."
"Available Credit Card Types","Available Credit Card Types"
"Carte Bancaire","Carte Bancaire"
"Click on ""GENERATE WEBHOOKS API KEY""","Click on ""GENERATE WEBHOOKS API KEY"""
"Click on ""SAVE"" to confirm your settings","Click on ""SAVE"" to confirm your settings"
"Code eci: %1","Code eci: %1"
"Connection failed! Test again?","Connection failed! Test again?"
"Connection","Connection"
"Copy & Paste the WebhooksKeySecret immediately","Copy & Paste the WebhooksKeySecret immediately"
"Credit Cards (iFrame)","Credit Cards (iFrame)"
"Current extension version is %1.","Current extension version is %1."
"Custom Return URL","Custom Return URL"
"Debug","Debug"
"Debug","Debug"
"Default Order Status","Default Order Status"
"Default value: every 5 minutes. <a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","Default value: every 5 minutes. <a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>"
"Diners Club","Diners Club"
"Enable Module","Enable Module"
"Enable Saved Payment (Vault)","Enable Saved Payment (Vault)"
"ending","ending"
"Environment Mode","Environment Mode"
"expires","expires"
"Fallback Timeout Limit","Fallback Timeout Limit"
"Fallback Timeout","Fallback Timeout"
"Final Authorization","Final Authorization"
"For extension support, please, visit the <a href=""%1"" target=""_blank"">support site</a>.","For extension support, please, visit the <a href=""%1"" target=""_blank"">support site</a>."
"General Information","General Information"
"General","General"
"Go to Configuration > Technical information > Ingenico Direct settings > Webhooks Configuration","Go to Configuration > Technical information > Ingenico Direct settings > Webhooks Configuration"
"Hosted Checkout (Redirect to Worldline)","Hosted Checkout (Redirect to Worldline)"
"HTML Template ID","HTML Template ID"
"If the payment process is failed, change the order status after the specified time in ""Fallback Timeout"" till the value specified in this field.<br/>In other words, the request will be executed during the specified time limit.","If the payment process is failed, change the order status after the specified time in ""Fallback Timeout"" till the value specified in this field.<br/>In other words, the request will be executed during the specified time limit."
"If the payment process is failed, change the order status after the specified time.","If the payment process is failed, change the order status after the specified time."
"In ""Endpoints URLs"", paste the Webhooks URL of your store - see below","In ""Endpoints URLs"", paste the Webhooks URL of your store - see below"
"JCB","JCB"
"Key","Key"
"label","label"
"Latest version available is %1.","Latest version available is %1."
"Maestro","Maestro"
"Mastercard","Mastercard"
"Maximum Order Total","Maximum Order Total"
"Merchant ID (PSPID)","Merchant ID (PSPID)"
"Minimum Order Total","Minimum Order Total"
"No authorization transaction to proceed capture.","No authorization transaction to proceed capture."
"No payment method","No payment method"
"No public_hash provided","No public_hash provided"
"No","No"
"Not AJAX","Not AJAX"
"Or contact our <a href=""%1"" target=""_blank"">sales team</a> for more details about our products.","Or contact our <a href=""%1"" target=""_blank"">sales team</a> for more details about our products."
"Or visit <a href=""%1"" target=""_blank"">developer's portal</a> for the API reference and documentation.","Or visit <a href=""%1"" target=""_blank"">developer's portal</a> for the API reference and documentation."
"Order status has been changed successfully. WorldLine status: %1.","Order status has been changed successfully. WorldLine status: %1."
"Order Status Updater","Order Status Updater"
"Payment Action","Payment Action"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Applicable Currencies","Payment from Applicable Currencies"
"Payment from Applicable Customer Groups","Payment from Applicable Customer Groups"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment from Specific Currencies","Payment from Specific Currencies"
"Payment from Specific Customer Groups","Payment from Specific Customer Groups"
"Payment Methods","Payment Methods"
"Place Order","Place Order"
"Please correct the sent data.","Please correct the sent data."
"Please, <a href=""%1"">click here</a> to proceed.","Please, <a href=""%1"">click here</a> to proceed."
"Pre-Authorization","Pre-Authorization"
"Production API URL","Production API URL"
"Production","Production"
"Required parameter ""worldline"" for ""payment_method"" is missing.","Required parameter ""worldline"" for ""payment_method"" is missing."
"Saved Payment Sort order","Saved Payment Sort order"
"Schedule (Cron Syntax)","Schedule (Cron Syntax)"
"Secret Key","Secret Key"
"Should be set only if you use PWA Studio or any other 3rd party frontend.","Should be set only if you use PWA Studio or any other 3rd party frontend."
"Skip 3DSecure Authentication","Skip 3DSecure Authentication"
"Sorry, but something went wrong","Sorry, but something went wrong"
"Sort","Sort"
"Specific Countries","Specific Countries"
"Specific Currencies","Specific Currencies"
"Specific Customer Groups","Specific Customer Groups"
"Specify fallback timeout in minutes.","Specify fallback timeout in minutes."
"Specify fallback timeout limit in hours.","Specify fallback timeout limit in hours."
"Successful! Test again?","Successful! Test again?"
"Test Connection","Test Connection"
"Test","Test"
"Testing API URL","Testing API URL"
"The current customer isn't authorized.","The current customer isn't authorized."
"The payment has failed, please, try again","The payment has failed, please, try again"
"This option should not be turned off if the merchant is based in a EU country","This option should not be turned off if the merchant is based in a EU country"
"This URL must be specified in the worldline admin panel","This URL must be specified in the worldline admin panel"
"Title","Title"
"To retrieve the webhooks credentials, login to the Worldline Back Office.","To retrieve the webhooks credentials, login to the Worldline Back Office."
"To retrieve webhooks credentials, login to the Worldline Back Office","To retrieve webhooks credentials, login to the Worldline Back Office"
"Visa","Visa"
"Waiting Time","Waiting Time"
"Webhook URL","Webhook URL"
"Webhook","Webhook"
"Worldline extension is compatible with Adobe Commerce 2.3.x / 2.4.x & Magento Open Source 2.3.x / 2.4.x.","Worldline extension is compatible with Adobe Commerce 2.3.x / 2.4.x & Magento Open Source 2.3.x / 2.4.x."
"Worldline Online Payments configuration is located under the dedicated configuration section.","Worldline Online Payments configuration is located under the dedicated configuration section."
"Worldline Online Payments","Worldline Online Payments"
"WorldLine refund has failed. Please contact the provider.","WorldLine refund has failed. Please contact the provider."
"Yes","Yes"
